AVERAGE RESULTS


TRANSACTION COUNT RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| count                                         | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| reentrancy_cross_function.sol                 | 76.19%               | 80.95% (+6.25%)      | 80.95% (+6.25%)      | 80.95% (+6.25%)      |
| reentrancy_dao.sol                            | 81.25%               | 81.25% (0.00%)       | 81.25% (0.00%)       | 81.25% (0.00%)       |
| reentrancy_insecure.sol                       | 78.57%               | 78.57% (0.00%)       | 78.57% (0.00%)       | 78.57% (0.00%)       |
| reentrancy_simple.sol                         | 55.00%               | 55.00% (0.00%)       | 55.00% (0.00%)       | 55.00% (0.00%)       |
| simple_dao.sol                                | 60.00%               | 64.00% (+6.67%)      | 64.00% (+6.67%)      | 64.00% (+6.67%)      |
| unchecked_return_value.sol                    | 81.25%               | 81.25% (0.00%)       | 81.25% (0.00%)       | 81.25% (0.00%)       |
| smart_billions.sol                            | 47.31%               | 48.53% (+2.56%)      | 50.09% (+5.86%)      | 49.57% (+4.76%)      |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 59.18%               | 59.88% (+1.18%)      | 60.45% (+2.15%)      | 59.83% (+1.10%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


AVERAGE COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol | 20.00%               | 20.12% (+0.64%)      | 20.13% (+0.64%)      | 20.31% (+1.55%)      |
| 0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol | 65.20%               | 64.14% (-1.62%)      | 66.26% (+1.63%)      | 65.92% (+1.12%)      |
| 0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol | 7.14%                | 7.18% (+0.69%)       | 7.10% (-0.46%)       | 7.14% (+0.01%)       |
| 0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol | 60.69%               | 59.40% (-2.12%)      | 62.23% (+2.53%)      | 62.51% (+3.00%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 17.48%               | 17.49% (+0.09%)      | N/A                  | 17.90% (+2.41%)      |
| 0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol | 16.97%               | 16.72% (-1.45%)      | 16.72% (-1.44%)      | 16.73% (-1.42%)      |
| 0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol | 19.14%               | 18.92% (-1.15%)      | 18.70% (-2.31%)      | 18.76% (-2.00%)      |
| 0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol | 17.05%               | 16.50% (-3.24%)      | 16.94% (-0.62%)      | 16.75% (-1.75%)      |
| 0x4051334adc52057aca763453820cb0e045076ef3.sol | 66.68%               | 68.04% (+2.05%)      | 66.41% (-0.40%)      | 68.24% (+2.35%)      |
| 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol | 19.79%               | 20.17% (+1.93%)      | N/A                  | 20.12% (+1.66%)      |
| 0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol | 25.78%               | 25.78% (-0.01%)      | 25.78% (+0.00%)      | 25.78% (-0.00%)      |
| 0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol | 64.16%               | 56.34% (-12.19%)     | 56.85% (-11.39%)     | N/A                  |
| 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol | 19.95%               | 19.39% (-2.80%)      | 19.57% (-1.94%)      | 20.26% (+1.53%)      |
| 0x524960d55174d912768678d8c606b4d50b79d7b1.sol | 66.59%               | 66.58% (-0.00%)      | 66.57% (-0.03%)      | 66.59% (+0.00%)      |
| 0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol | N/A                  | 22.02% (-122.02%)    | 22.13% (-122.13%)    | N/A                  |
| 0x561eac93c92360949ab1f1403323e6db345cbf31.sol | 19.68%               | 20.43% (+3.80%)      | 20.22% (+2.76%)      | 20.14% (+2.32%)      |
| 0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol | 19.62%               | 19.11% (-2.61%)      | 18.34% (-6.51%)      | 18.92% (-3.57%)      |
| 0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol | 15.82%               | 16.18% (+2.26%)      | 16.29% (+2.95%)      | 16.19% (+2.32%)      |
| 0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol | 17.53%               | 17.67% (+0.75%)      | 17.62% (+0.48%)      | 17.49% (-0.27%)      |
| 0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol | 18.50%               | 18.80% (+1.66%)      | 18.31% (-1.00%)      | 18.02% (-2.56%)      |
| 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol | 17.60%               | 17.16% (-2.54%)      | 17.12% (-2.76%)      | 17.19% (-2.36%)      |
| 0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol | 17.51%               | 18.12% (+3.44%)      | 18.10% (+3.35%)      | 18.31% (+4.57%)      |
| 0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol | 22.80%               | 21.97% (-3.65%)      | 22.99% (+0.84%)      | 23.55% (+3.27%)      |
| 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol | 18.87%               | 18.67% (-1.07%)      | 19.25% (+1.97%)      | 18.82% (-0.28%)      |
| 0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol | N/A                  | 11.63% (-111.63%)    | 11.60% (-111.60%)    | N/A                  |
| 0x89c1b3807d4c67df034fffb62f3509561218d30b.sol | 7.24%                | 7.30% (+0.79%)       | 7.31% (+0.84%)       | 7.33% (+1.19%)       |
| 0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol | 17.00%               | 17.17% (+1.02%)      | 16.83% (-0.97%)      | 16.96% (-0.21%)      |
| 0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol | 15.78%               | 15.72% (-0.38%)      | 16.37% (+3.72%)      | 16.21% (+2.69%)      |
| 0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol | 14.91%               | 14.43% (-3.23%)      | 14.74% (-1.15%)      | 14.52% (-2.63%)      |
| 0xa1fceeff3acc57d257b917e30c4df661401d6431.sol | 38.02%               | 35.70% (-6.09%)      | 40.22% (+5.77%)      | 48.23% (+26.86%)     |
| 0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol | 61.61%               | 62.10% (+0.80%)      | 62.90% (+2.10%)      | 64.58% (+4.83%)      |
| 0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol | 19.53%               | 20.28% (+3.87%)      | 20.50% (+4.99%)      | 20.14% (+3.14%)      |
| 0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol | 11.31%               | 11.27% (-0.32%)      | 11.25% (-0.51%)      | 11.05% (-2.28%)      |
| 0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol | 19.31%               | 18.85% (-2.42%)      | 18.97% (-1.76%)      | 19.06% (-1.32%)      |
| 0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol | 17.98%               | 17.89% (-0.47%)      | 17.42% (-3.12%)      | 17.79% (-1.06%)      |
| 0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol | 8.44%                | 8.19% (-2.98%)       | 8.42% (-0.23%)       | 8.32% (-1.42%)       |
| 0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol | 35.00%               | 34.57% (-1.20%)      | 33.83% (-3.33%)      | 33.84% (-3.31%)      |
| 0xbaa3de6504690efb064420d89e871c27065cdd52.sol | 19.40%               | 19.22% (-0.92%)      | 19.37% (-0.15%)      | 18.69% (-3.65%)      |
| 0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol | 15.56%               | 16.15% (+3.77%)      | 16.25% (+4.41%)      | 16.23% (+4.29%)      |
| 0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol | 19.14%               | 19.26% (+0.61%)      | 18.50% (-3.36%)      | 18.81% (-1.71%)      |
| 0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol | 17.97%               | 17.74% (-1.26%)      | 18.65% (+3.78%)      | 17.87% (-0.54%)      |
| 0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol | 64.40%               | 61.80% (-4.03%)      | 61.50% (-4.50%)      | 67.53% (+4.87%)      |
| 0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol | 18.02%               | 17.56% (-2.58%)      | N/A                  | 17.83% (-1.08%)      |
| 0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol | 17.80%               | 17.71% (-0.51%)      | 17.82% (+0.11%)      | 17.51% (-1.63%)      |
| 0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol | 17.66%               | 17.98% (+1.84%)      | 17.98% (+1.85%)      | 17.67% (+0.06%)      |
| 0xe894d54dca59cb53fe9cbc5155093605c7068220.sol | 65.57%               | 66.82% (+1.91%)      | 67.77% (+3.36%)      | 67.69% (+3.23%)      |
| 0xec329ffc97d75fe03428ae155fc7793431487f63.sol | 10.33%               | 10.32% (-0.07%)      | N/A                  | 10.32% (-0.07%)      |
| 0xf2570186500a46986f3139f65afedc2afe4f445d.sol | N/A                  | 61.47% (-161.47%)    | 60.31% (-160.31%)    | N/A                  |
| 0xf29ebe930a539a60279ace72c707cba851a57707.sol | 32.59%               | 30.28% (-7.09%)      | 30.86% (-5.32%)      | 31.63% (-2.93%)      |
| 0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol | 17.66%               | 16.80% (-4.85%)      | 17.16% (-2.79%)      | 16.98% (-3.83%)      |
| blackjack.sol                                 | 11.43%               | 11.01% (-3.66%)      | 11.12% (-2.74%)      | 11.12% (-2.68%)      |
| etheraffle.sol                                | 12.03%               | 11.99% (-0.37%)      | 12.96% (+7.72%)      | 9.14% (-24.00%)      |
| etherbank.sol                                 | 32.24%               | 31.29% (-2.96%)      | 32.15% (-0.28%)      | 32.17% (-0.22%)      |
| etherpot_lotto.sol                            | 11.99%               | 11.98% (-0.03%)      | 11.84% (-1.24%)      | 11.68% (-2.57%)      |
| etherstore.sol                                | 22.10%               | 23.94% (+8.36%)      | 23.25% (+5.20%)      | 23.90% (+8.15%)      |
| guess_the_random_number.sol                   | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| king_of_the_ether_throne.sol                  | 8.36%                | 8.25% (-1.21%)       | 8.25% (-1.29%)       | 8.22% (-1.63%)       |
| lottery.sol                                   | 13.73%               | 15.44% (+12.50%)     | 18.01% (+31.25%)     | 18.71% (+36.34%)     |
| lotto.sol                                     | 19.42%               | 19.43% (+0.02%)      | 19.43% (+0.03%)      | 19.43% (+0.03%)      |
| lucky_doubler.sol                             | 7.12%                | 7.20% (+1.08%)       | 7.00% (-1.80%)       | 6.90% (-3.15%)       |
| mishandled.sol                                | 66.61%               | 66.62% (+0.00%)      | 66.62% (+0.01%)      | 66.61% (+0.00%)      |
| old_blockhash.sol                             | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| reentrance.sol                                | 23.94%               | 24.61% (+2.80%)      | 25.08% (+4.75%)      | 25.03% (+4.54%)      |
| reentrancy_bonus.sol                          | 33.70%               | 30.86% (-8.43%)      | 33.54% (-0.46%)      | 32.07% (-4.82%)      |
| reentrancy_cross_function.sol                 | 34.07%               | 34.28% (+0.59%)      | 34.41% (+1.00%)      | 34.78% (+2.08%)      |
| reentrancy_dao.sol                            | 42.92%               | 43.34% (+0.98%)      | 43.01% (+0.22%)      | 43.54% (+1.46%)      |
| reentrancy_insecure.sol                       | 44.84%               | 45.71% (+1.95%)      | 45.67% (+1.86%)      | 46.03% (+2.67%)      |
| reentrancy_simple.sol                         | 31.92%               | 32.14% (+0.70%)      | 32.21% (+0.92%)      | 31.70% (-0.68%)      |
| simple_dao.sol                                | 27.87%               | 28.57% (+2.52%)      | 28.60% (+2.60%)      | 28.49% (+2.23%)      |
| unchecked_return_value.sol                    | 41.51%               | 41.60% (+0.21%)      | 41.63% (+0.28%)      | 42.67% (+2.80%)      |
| smart_billions.sol                            | 6.33%                | 6.79% (+7.39%)       | 6.68% (+5.54%)       | 6.55% (+3.55%)       |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 25.42%               | 25.50% (+0.28%)      | 26.29% (+3.41%)      | 25.24% (-0.72%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


DETAILED CRITICAL INSTRUCTIONS HITS RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| instruction                                   | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| CALL                                          | 96.95                | 738.68 (+661.92%)    | 658.60 (+579.32%)    | 113.96 (+17.55%)     |
| SELFDESCTRUCT                                 | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
| CALLCODE                                      | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
| DELEGATECALL                                  | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 24.24                | 184.67 (+661.92%)    | 164.65 (+579.32%)    | 28.49 (+17.55%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


VULNERABILITIES RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| vulnerability type                            | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| BD (13)                                       | 61.54% (8)           | 69.23% (09,+12.50%)  | 69.23% (09,+12.50%)  | 61.54% (08,0.00%)    |
| ME (50)                                       | 66.00% (33)          | 68.00% (34,+3.03%)   | 70.00% (35,+6.06%)   | 68.00% (34,+3.03%)   |
| RE (19)                                       | 36.84% (7)           | 78.95% (15,+114.29%) | 78.95% (15,+114.29%) | 84.21% (16,+128.57%) |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE (82)                                  | 54.79% (48)          | 72.06% (58,+31.51%)  | 72.73% (59,+32.73%)  | 71.25% (58,+30.03%)  |
----------------------------------------------------------------------------------------------------------------------------------------------
