AVERAGE RESULTS


TRANSACTION COUNT RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| count                                         | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| transaction_count                             | 1388.35              | 1550.32 (+11.67%)    | 1528.12 (+10.07%)    | 1405.93 (+1.27%)     |
----------------------------------------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol | 59.52%               | 69.05% (+16.00%)     | 66.67% (+12.00%)     | 61.90% (+4.00%)      |
| 0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol | 77.78%               | 77.78% (0.00%)       | 77.78% (0.00%)       | 77.78% (0.00%)       |
| 0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol | 57.87%               | 57.61% (-0.44%)      | 59.14% (+2.19%)      | 58.63% (+1.32%)      |
| 0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol | 83.33%               | 77.78% (-6.67%)      | 77.78% (-6.67%)      | 77.78% (-6.67%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 72.41%               | 68.97% (-4.76%)      | N/A                  | 67.24% (-7.14%)      |
| 0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol | 65.08%               | 68.25% (+4.88%)      | 65.08% (0.00%)       | 65.08% (0.00%)       |
| 0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol | 75.00%               | 75.00% (0.00%)       | 75.00% (0.00%)       | 75.00% (0.00%)       |
| 0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol | 59.52%               | 64.29% (+8.00%)      | 66.67% (+12.00%)     | 59.52% (0.00%)       |
| 0x4051334adc52057aca763453820cb0e045076ef3.sol | 81.25%               | 75.00% (-7.69%)      | 75.00% (-7.69%)      | 75.00% (-7.69%)      |
