GROUP A RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x8c15ef5b4b21951d50e53e4fbda8298ffad25057.sol | 46.21%               | 50.00% (+8.21%)      | 60.34% (+30.60%)     | 50.34% (+8.96%)      |
| 0x539efe69bcdd21a83efd9122571a64cc25e0282b.sol | 44.61%               | 47.06% (+5.49%)      | 47.06% (+5.49%)      | 47.55% (+6.59%)      |
| 0x4e53ff445f80b349ca6af3dd735c5f07a7c8927a.sol | 47.48%               | 48.74% (+2.65%)      | 46.22% (-2.65%)      | 48.74% (+2.65%)      |
| 0x9f949124e2a23492005a9bb937acb29bda2cab9e.sol | 38.02%               | 55.73% (+46.58%)     | 52.08% (+36.99%)     | 42.71% (+12.33%)     |
| 0x90335e6f8cf5b4b3cc28217b6b2ece290439e492.sol | 40.59%               | 45.54% (+12.20%)     | 51.98% (+28.05%)     | 48.02% (+18.29%)     |
| 0x0778cc2e8bbad3d483e82371606d100cc8604522.sol | 39.08%               | 44.12% (+12.90%)     | 49.16% (+25.81%)     | 45.80% (+17.20%)     |
| 0xc9c4d9ec2b44b241361707679d3db0876ac10ca6.sol | 35.42%               | 38.89% (+9.80%)      | 42.71% (+20.59%)     | 39.58% (+11.76%)     |
| 0x81e74a3ea4bab2277aa3b941e9d9f37b08ac5374.sol | 27.60%               | 27.60% (0.00%)       | 27.60% (0.00%)       | 27.60% (0.00%)       |
| 0x1530df3e1c69501d4ecb7e58eb045b90de158873.sol | 36.76%               | 50.29% (+36.80%)     | 51.76% (+40.80%)     | 53.24% (+44.80%)     |
| 0xeb72f169016fec42b63ae5e87207f0fb274408c7.sol | 47.48%               | 50.42% (+6.19%)      | 46.64% (-1.77%)      | 45.38% (-4.42%)      |
| 0xe1fd7cb1a330c48cc0a09d31f0786b61bfc43f71.sol | 48.94%               | 42.98% (-12.17%)     | 54.04% (+10.43%)     | 39.15% (-20.00%)     |
| 0xd559f20296ff4895da39b5bd9add54b442596a61.sol | 45.45%               | 47.34% (+4.14%)      | 48.28% (+6.21%)      | 48.59% (+6.90%)      |
| 0xaf2dc9d375d3de6535d8c8aa2096371b8d5df8fd.sol | 49.58%               | 51.68% (+4.24%)      | 49.16% (-0.85%)      | 52.94% (+6.78%)      |
