GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x64cfc7428621b2b118896670c0b4d52ab020ee6a.sol | 32.48%               | 33.76% (+3.95%)      | 32.91% (+1.32%)      | 27.14% (-16.45%)     |
| 0xc72fe8e3dd5bef0f9f31f259399f301272ef2a2d.sol | 27.78%               | 31.48% (+13.33%)     | 42.36% (+52.50%)     | 46.30% (+66.67%)     |
| 0x461733c17b0755ca5649b6db08b3e213fcf22546.sol | 46.85%               | 59.95% (+27.96%)     | 58.44% (+24.73%)     | 64.23% (+37.10%)     |
| 0x55d34b686aa8c04921397c5807db9ecedba00a4c.sol | 19.50%               | 18.73% (-3.96%)      | 19.31% (-0.99%)      | 19.11% (-1.98%)      |
| 0xff1f9c77a0f1fd8f48cfeee58b714ca03420ddac.sol | 24.89%               | 22.71% (-8.77%)      | 31.22% (+25.44%)     | 22.05% (-11.40%)     |
| 0x6f6deb5db0c4994a8283a01d6cfeeb27fc3bbe9c.sol | 46.71%               | 50.00% (+7.04%)      | 49.83% (+6.67%)      | 47.92% (+2.59%)      |
| 0x336db6c1ead9cc4d5b0a33ac03c057e20640126a.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x358d12436080a01a16f711014610f8a4c2c2d233.sol | 40.92%               | 48.59% (+18.75%)     | 51.92% (+26.88%)     | 51.92% (+26.88%)     |
| 0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x49aaa160506f7e07e6c3f6cd6316b6866025cdcb.sol | 26.50%               | 30.20% (+13.98%)     | 30.20% (+13.98%)     | 29.91% (+12.90%)     |
| 0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7.sol | 42.36%               | 43.23% (+2.06%)      | 43.23% (+2.06%)      | 43.45% (+2.58%)      |
| 0x9f91b5aa41b9fbdae6877593910586484d291f05.sol | 29.89%               | 35.16% (+17.65%)     | 30.55% (+2.21%)      | 35.82% (+19.85%)     |
| 0x18dd9ae3383de623db1ea37d8da5dde1dc74d356.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x338ffc2cafc121bc83bf7a610ccc136ba7247b64.sol | 28.73%               | 33.89% (+17.95%)     | 33.15% (+15.38%)     | 28.55% (-0.64%)      |
| 0x167cb3f2446f829eb327344b66e271d1a7efec9a.sol | 43.26%               | 45.29% (+4.71%)      | 45.29% (+4.71%)      | 44.78% (+3.53%)      |
| 0x06404399e748cd83f25ab163711f9f4d61cfd0e6.sol | 51.69%               | 55.06% (+6.52%)      | 52.58% (+1.74%)      | 54.16% (+4.78%)      |
| 0x5ab793e36070f0fac928ea15826b0c1bc5365119.sol | 42.07%               | 42.07% (0.00%)       | 46.27% (+10.00%)     | 32.31% (-23.18%)     |
| 0x490c95be16384e1f28b9e864e98ffecfcbff386d.sol | 38.42%               | 49.85% (+29.77%)     | 51.61% (+34.35%)     | 51.61% (+34.35%)     |
| 0x0601ec5350b48fe2c3f421ea42915d16df108d27.sol | 38.93%               | 38.93% (0.00%)       | 44.07% (+13.22%)     | 50.34% (+29.31%)     |
| 0x2c2391f793f4f81475d87fffe366458ce5380a13.sol | 30.35%               | 40.53% (+33.53%)     | 40.35% (+32.95%)     | 35.26% (+16.18%)     |
