AVERAGE RESULTS


TRANSACTION COUNT RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| count                                         | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| transaction_count                             | 1406.13              | 1492.55 (+6.15%)     | 1452.82 (+3.32%)     | 1260.79 (-10.34%)    |
----------------------------------------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol | 61.90%               | 66.67% (+7.69%)      | 66.67% (+7.69%)      | 66.67% (+7.69%)      |
| 0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol | 77.78%               | 77.78% (0.00%)       | 77.78% (0.00%)       | 77.78% (0.00%)       |
| 0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol | 57.36%               | 58.88% (+2.65%)      | 58.38% (+1.77%)      | 58.63% (+2.21%)      |
| 0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol | 83.33%               | 77.78% (-6.67%)      | 77.78% (-6.67%)      | 77.78% (-6.67%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 65.52%               | 74.14% (+13.16%)     | N/A                  | 68.97% (+5.26%)      |
| 0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol | 63.49%               | 63.49% (0.00%)       | 69.84% (+10.00%)     | 66.67% (+5.00%)      |
| 0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol | 75.00%               | 75.00% (0.00%)       | 75.00% (0.00%)       | 75.00% (0.00%)       |
| 0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol | 59.52%               | 66.67% (+12.00%)     | 59.52% (0.00%)       | 59.52% (0.00%)       |
| 0x4051334adc52057aca763453820cb0e045076ef3.sol | 81.25%               | 75.00% (-7.69%)      | 81.25% (0.00%)       | 75.00% (-7.69%)      |
| 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol | 61.90%               | 66.67% (+7.69%)      | N/A                  | 66.67% (+7.69%)      |
| 0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol | 25.81%               | 25.81% (0.00%)       | 25.81% (0.00%)       | 25.81% (0.00%)       |
| 0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol | 81.25%               | 75.00% (-7.69%)      | 75.00% (-7.69%)      | 75.00% (-7.69%)      |
| 0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol | 64.29%               | 66.67% (+3.70%)      | N/A                  | 61.90% (-3.70%)      |
| 0x524960d55174d912768678d8c606b4d50b79d7b1.sol | 66.67%               | 66.67% (0.00%)       | 66.67% (0.00%)       | 66.67% (0.00%)       |
